Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
0002-ORFBO,Female,-0.5677732238554163,Yes,0.0,Frazier Park,-0.1406148598631791,-0.554852024428823,0.35167825852159373,0.07294460502979132,-0.9529936158621222,Offer B,Yes,1.2555765413583164,No,Yes,Cable,-0.5523377630224551,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,0.8347040273488249,0.06422137036124592,-0.7444999614321612,0.0,0.0,-0.43633310249060664,-0.7192935621814479,0.677557161790749,-0.214217897152195,-0.326610557238493
0003-MKNFE,Male,-0.030432922848753225,No,0.0,Glendale,-1.2280656814863997,-0.8242782862816157,0.7208071098345361,-0.6786996571864785,-0.9529936158621222,Offer B,Yes,-1.0935272460740186,Yes,Yes,Cable,-1.0528672103934216,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,0.8347040273488249,-2.1663671444894255,-0.7669618598913679,0.0,0.0,-0.7827478600718687,-0.8466723275203892,0.677557161790749,-0.214217897152195,-0.326610557238493
0004-TLHLJ,Male,0.20838498870976369,No,0.0,Costa Mesa,-0.4627028199080953,-1.0336321245380973,0.8513644312324073,-0.6786996571864785,-1.1567399515040244,Offer E,Yes,0.6079056548548902,No,Yes,Fiber Optic,0.6155642808431335,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,-0.833519714029658,0.3302254604943005,-0.8823824795771346,0.0,0.0,-0.7361342514369418,-0.9147523342440771,-1.599177137108223,-0.214217897152195,-0.326610557238493
0011-IGKFF,Male,1.880110369619382,Yes,0.0,Martinez,0.5746573992332236,0.7359998686732657,-1.094916600091735,-0.30287752607834356,-0.7899965473486005,Offer D,Yes,0.17587804978452712,No,Yes,Fiber Optic,-1.553396657764388,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,-0.833519714029658,1.1025987824469037,-0.4600634849708314,0.0,0.0,-0.4604352158379184,-0.5010028461711425,-1.599177137108223,1.2885078495040896,4.166746844066757
0013-EXCHZ,Female,1.7009969359504944,Yes,0.0,Camarillo,-0.2564157150632744,-0.7978151328537193,0.3141574650501985,0.4487667361379262,-1.1974892186324049,Offer B,Yes,-1.338812215676575,No,Yes,Fiber Optic,-0.9694456358315938,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,0.8347040273488249,0.6507123160762937,-0.8883178928242137,0.0,0.0,-0.8726845621189914,-0.9587494273333319,-1.599177137108223,1.2885078495040896,3.0434074937404447
0013-MHZWF,Female,-1.4036359143102255,No,0.0,Midpines,1.0012354332726443,0.5606235026097532,-0.10030224221287326,-0.6786996571864785,-0.9529936158621222,Offer E,Yes,-0.6429735858977222,No,Yes,Cable,1.86688789927055,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,0.8347040273488249,0.18600637548240365,-0.7541422498670073,0.0,0.0,-0.7163061652424026,-0.8075009024127291,0.677557161790749,-0.214217897152195,-0.326610557238493
0013-SMEOE,Female,1.2233611128334605,Yes,0.0,Lompoc,-0.02642983054959674,-0.5832813523640568,-0.36848795078802354,-0.30287752607834356,1.5734609460974645,Offer A,Yes,-1.1476233269833438,No,Yes,Fiber Optic,-0.7191809121461106,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,-0.833519714029658,1.4775684034778356,2.4817832711874335,0.0,0.0,-0.04092488024616925,1.9491855187922957,0.677557161790749,-0.214217897152195,-0.326610557238493
0014-BMAQU,Male,0.32779394448902216,Yes,0.0,Napa,0.5773504423774118,0.9285391478085736,-1.1667171851785616,2.1399663261245334,1.247466809070421,Offer B,Yes,-0.9253106657121448,Yes,Yes,Fiber Optic,-1.303131934078905,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,0.8347040273488249,0.6747488302449431,1.3668743642667496,0.0,0.0,0.09181280394164565,1.111549494989217,0.677557161790749,-0.214217897152195,-0.326610557238493
0015-UOCOJ,Female,1.2830655907230897,No,0.0,Simi Valley,-0.2278694577348788,-0.7698791713276179,0.4971427030363774,-0.6786996571864785,-1.034492150118883,Offer E,Yes,-1.105383921341816,No,Yes,DSL,-0.1352298902133163,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,-0.833519714029658,-0.4934257583514218,-0.8561254469971188,0.0,0.0,-0.8100676359063531,-0.915238045938097,0.677557161790749,-0.214217897152195,-0.326610557238493
0016-QLJIS,Female,-0.2095463565176409,Yes,0.0,Sheridan,1.1822079325620956,1.129031833711826,-0.7373211105824558,0.4487667361379262,1.328965343327182,Offer B,Yes,0.22330475085571624,Yes,Yes,Cable,-0.7191809121461106,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,0.8347040273488249,0.860631206482499,1.6228693995552723,0.0,0.0,1.3466040369582173,1.6683777674027627,0.677557161790749,-0.214217897152195,-0.326610557238493
0017-DINOC,Male,0.029271555040876,No,0.0,Rancho Santa Fe,-0.7513970449650771,-1.2977783936625882,1.1834914578615485,-0.6786996571864785,0.8807234049149972,Offer B,No,0.01803606028197596,No,Yes,Cable,-1.0528672103934216,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,0.8347040273488249,-0.5895718150260196,0.07950750218186142,0.0,0.0,-0.899567221540124,-0.20012716486249305,0.677557161790749,-0.214217897152195,-0.326610557238493
